基金代码,基金名称,7日年化,14日年化,28日年化,日期
000662,银华活钱宝货币F,2.503%,2.5156%,2.6669%,2019-07-17
150998,银河钱包货币B,3.236%,2.679%,2.5648%,2019-07-17
000647,易方达财富快线货币A,2.578%,2.5864%,2.6148%,2019-07-17
000891,博时现金宝货币B,2.694%,2.7175%,2.7645%,2019-07-17
004282,博时兴荣货币,2.53%,2.4955%,2.5586%,2019-07-17
005057,东方红货币B,2.314%,2.2232%,2.4282%,2019-07-17
004771,海富通添益货币B,2.558%,2.5455%,2.717%,2019-07-17
000860,银华惠增利货币,2.494%,2.4896%,2.681%,2019-07-17
003534,浦银安盛日日丰货币A,3.201%,2.8632%,2.921%,2019-07-17
004860,华泰紫金零钱宝货币,2.506%,2.4427%,2.3936%,2019-07-17
003483,交银天鑫宝货币E,2.462%,2.4344%,2.4638%,2019-07-17
000665,博时现金收益货币B,2.575%,2.5781%,2.6087%,2019-07-17
001233,嘉合货币B,2.435%,2.3236%,3.2168%,2019-07-17
519510,浦银安盛货币B,2.494%,2.6505%,2.8026%,2019-07-17
217014,招商现金增值货币B,2.453%,2.4658%,2.572%,2019-07-17
001895,泰达宏利活期友货币B,3.031%,2.826%,2.9184%,2019-07-17
210013,金鹰货币B,3.272%,2.8956%,2.9348%,2019-07-17
080011,长盛货币A,2.199%,2.1426%,2.2237%,2019-07-17
003473,南方天天利货币A,2.618%,2.6602%,2.7076%,2019-07-17
200103,长城货币B,2.653%,2.8472%,2.8956%,2019-07-17
000786,华融现金增利货币B,2.525%,2.5768%,2.6041%,2019-07-17
001666,鹏华添利宝货币,2.604%,2.6752%,2.7816%,2019-07-17
002260,中信建投添鑫宝,2.39%,2.2827%,2.506%,2019-07-17
001981,富国收益宝交易型货币A,2.274%,2.2647%,2.404%,2019-07-17
003969,交银天益宝货币E,2.444%,2.434%,2.4609%,2019-07-17
002890,交银天利宝货币E,2.496%,2.4715%,2.9059%,2019-07-17
000705,易方达天天增利货币B,2.46%,2.4111%,2.4672%,2019-07-17
150015,银河银富货币B,2.514%,2.5418%,2.6241%,2019-07-17
160609,鹏华货币B,2.523%,2.4126%,2.484%,2019-07-17
000902,国开货币B,2.573%,2.5355%,2.524%,2019-07-17
091022,大成现金增利货币B,2.493%,2.4883%,2.463%,2019-07-17
001175,山证日日添利货币A,2.512%,2.5344%,2.5609%,2019-07-17
000506,国寿安保货币B,2.506%,2.5464%,2.628%,2019-07-17
004896,鹏华兴鑫宝货币,2.529%,2.6045%,2.6254%,2019-07-17
003281,广发活期宝货币B,2.396%,2.4171%,2.6077%,2019-07-17
000009,易方达天天理财货币A,2.519%,2.5453%,2.5812%,2019-07-17
000725,大成添利宝货币B,2.432%,2.3992%,2.4726%,2019-07-17
002302,新沃通宝B,2.531%,2.5656%,2.9821%,2019-07-17
004861,泰康现金管家货币A,2.121%,2.0183%,2.3038%,2019-07-17
000699,中银薪钱包货币,2.538%,2.615%,2.6696%,2019-07-17
